median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
87321,1400,1347,48,20,77,51,80,48,2014,0.24053452115812918,22071011500,22071,2014,535000.0,970000.0,24.0,794400.0,772500.0,150538.2004081789
61667,1370,4174,580,34,7,515,41,0,2014,0.281983708672736,22071012102,22071,2014,426600.0,800000.0,13.0,707100.0,599000.0,150538.2004081789
42188,996,1522,38,132,53,49,80,17,2014,0.24244415243101183,22071012500,22071,2014,315000.0,530000.0,18.0,412400.0,370000.0,150538.2004081789
48542,1069,2224,177,101,62,86,156,111,2014,0.31160071942446044,22071012700,22071,2014,397000.0,626500.0,24.0,516700.0,510000.0,150538.2004081789
53250,911,1410,40,5,34,52,79,60,2014,0.19148936170212766,22071012900,22071,2014,205000.0,296000.0,17.0,277500.0,255000.0,150538.2004081789
59474,1079,4555,18,28,74,7,20,27,2014,0.03819978046103183,22071000606,22071,2014,106500.0,170000.0,48.0,140400.0,151000.0,150538.2004081789
25607,884,1705,2,13,0,0,17,0,2014,0.0187683284457478,22071000702,22071,2014,160000.0,235000.0,19.0,191900.0,175000.0,150538.2004081789
19006,858,1678,7,55,24,0,66,30,2014,0.10846245530393325,22071001301,22071,2014,149000.0,470000.0,19.0,306200.0,273000.0,150538.2004081789
34028,899,1484,5,6,20,0,79,24,2014,0.09029649595687332,22071011100,22071,2014,285000.0,450000.0,17.0,395500.0,375000.0,150538.2004081789
76875,1427,1519,22,13,76,95,38,93,2014,0.2218564845292956,22071012000,22071,2014,435000.0,1135000.0,19.0,856000.0,890000.0,150538.2004081789
82550,1396,2326,38,85,99,94,106,96,2014,0.2226999140154772,22071012200,22071,2014,315000.0,465000.0,37.0,431900.0,342000.0,150538.2004081789
49464,1052,1880,176,125,53,114,112,97,2014,0.3601063829787234,22071012600,22071,2014,379000.0,630000.0,25.0,535700.0,465000.0,150538.2004081789
23304,891,1349,7,0,8,5,0,0,2014,0.014825796886582653,22071000800,22071,2014,145000.0,210000.0,13.0,178800.0,180000.0,150538.2004081789
47571,1000,2033,0,0,0,0,17,0,2014,0.008362026561731432,22071002401,22071,2014,124000.0,175000.0,22.0,157000.0,145000.0,150538.2004081789
65089,1423,4529,22,156,65,29,33,93,2014,0.08787811879001987,22071000607,22071,2014,125000.0,180000.0,46.0,174600.0,161500.0,150538.2004081789
27007,693,5070,0,3,17,17,16,0,2014,0.010453648915187377,22071001723,22071,2014,129500.0,150000.0,28.0,140200.0,137000.0,150538.2004081789
23946,921,4619,0,24,18,0,0,20,2014,0.013422818791946308,22071001724,22071,2014,136000.0,181300.0,29.0,162800.0,160000.0,150538.2004081789
49273,907,2670,84,37,76,13,38,36,2014,0.10636704119850188,22071000100,22071,2014,222000.0,330000.0,51.0,283600.0,290000.0,150538.2004081789
30000,1415,1950,13,0,7,8,0,5,2014,0.016923076923076923,22071001701,22071,2014,135000.0,165000.0,16.0,150900.0,154500.0,150538.2004081789
